avgcpu,node_count,instance_type,job_input,engine_type,data_size,elapsed_time,name
71.24821582733813,10,m4.large,pagerank,hadoop,huge,1382.405,10_m4.large_pagerank_hadoop_huge_1
75.88933231707317,10,m4.large,pagerank,spark,bigdata,1154.027,10_m4.large_pagerank_spark_bigdata_1
71.96232631578947,10,m4.large,pagerank,spark,huge,468.369,10_m4.large_pagerank_spark_huge_1
86.68713055555554,10,m4.large,regression,spark1.5,bigdata,7200.505428504999,10_m4.large_regression_spark1.5_bigdata_1
83.36733333333333,10,m4.large,regression,spark1.5,huge,2640.28677193,10_m4.large_regression_spark1.5_huge_1
43.98337305650238,10,m4.large,terasort,hadoop,bigdata,1749.412,10_m4.large_terasort_hadoop_bigdata_1
34.711406551423664,10,m4.large,terasort,hadoop,huge,1210.706,10_m4.large_terasort_hadoop_huge_1
56.47839897302648,10,m4.large,wordcount,hadoop,bigdata,2142.750,10_m4.large_wordcount_hadoop_bigdata_1
58.142820298916185,10,m4.large,wordcount,hadoop,huge,1037.715,10_m4.large_wordcount_hadoop_huge_1
65.12440119760478,10,m4.xlarge,join,spark,bigdata,472.899,10_m4.xlarge_join_spark_bigdata_1
54.77291549295775,10,m4.xlarge,join,spark,huge,352.511,10_m4.xlarge_join_spark_huge_1
91.17003773584906,10,m4.xlarge,kmeans,spark1.5,bigdata,1854.9587836550018,10_m4.xlarge_kmeans_spark1.5_bigdata_1
90.25264766839379,10,m4.xlarge,kmeans,spark1.5,huge,967.8267146859998,10_m4.xlarge_kmeans_spark1.5_huge_1
10.207182684002502,10,m4.xlarge,lr,spark,bigdata,2437.692,10_m4.xlarge_lr_spark_bigdata_1
8.319315625,10,m4.xlarge,lr,spark,huge,1594.825,10_m4.xlarge_lr_spark_huge_1
89.02158620689656,10,m4.xlarge,naive-bayes,spark1.5,bigdata,1306.409577336999,10_m4.xlarge_naive-bayes_spark1.5_bigdata_1
87.75594074074074,10,m4.xlarge,naive-bayes,spark1.5,huge,675.4569616829995,10_m4.xlarge_naive-bayes_spark1.5_huge_1
70.13840133037694,10,m4.xlarge,pagerank,hadoop,bigdata,1356.371,10_m4.xlarge_pagerank_hadoop_bigdata_1
65.70232584269664,10,m4.xlarge,pagerank,hadoop,huge,887.284,10_m4.xlarge_pagerank_hadoop_huge_1
72.61575471698113,10,m4.xlarge,pagerank,spark,bigdata,513.868,10_m4.xlarge_pagerank_spark_bigdata_1
65.39651851851852,10,m4.xlarge,pagerank,spark,huge,264.483,10_m4.xlarge_pagerank_spark_huge_1
88.20493007990517,10,m4.xlarge,regression,spark1.5,bigdata,4938.429091761,10_m4.xlarge_regression_spark1.5_bigdata_1
85.92231716417909,10,m4.xlarge,regression,spark1.5,huge,1341.2454640860003,10_m4.xlarge_regression_spark1.5_huge_1
42.55442105263158,10,m4.xlarge,terasort,hadoop,bigdata,955.222,10_m4.xlarge_terasort_hadoop_bigdata_1
38.685873873873874,10,m4.xlarge,terasort,hadoop,huge,548.317,10_m4.xlarge_terasort_hadoop_huge_1
58.440052440935276,10,m4.xlarge,wordcount,hadoop,bigdata,1002.592,10_m4.xlarge_wordcount_hadoop_bigdata_1
55.959583413770915,10,m4.xlarge,wordcount,hadoop,huge,550.583,10_m4.xlarge_wordcount_hadoop_huge_1
49.00866666666667,10,r4.2xlarge,join,spark,bigdata,339.233,10_r4.2xlarge_join_spark_bigdata_1
37.07235000000001,10,r4.2xlarge,join,spark,huge,292.408,10_r4.2xlarge_join_spark_huge_1
