c5d.18xlarge,174.7,281.4,478.0,646.8
c5d.24xlarge,190.5,337.8,682.7,933.2
c5d.metal,190.5,337.8,682.7,933.2
c5n.large,5.1,8.3,14.0,19.1
c5n.xlarge,10.2,16.5,28.1,38.1
c5n.2xlarge,20.4,33.0,56.2,76.3
c5n.4xlarge,40.8,66.1,112.4,152.5
c5n.9xlarge,92.0,149.2,253.8,344.6
c5n.18xlarge,184.0,298.3,507.7,689.1
c5n.metal,184.0,298.3,507.7,689.1
c6g.medium,1.1,1.8,3.0,4.1
c6g.large,2.3,3.6,6.1,8.1
c6g.xlarge,4.6,7.3,12.1,16.2
c6g.2xlarge,9.1,14.5,24.3,32.4
c6g.4xlarge,18.3,29.0,48.5,64.9
c6g.8xlarge,36.5,58.1,97.0,129.8
c6g.12xlarge,54.8,87.1,145.5,194.7
c6g.16xlarge,73.0,116.1,194.0,259.6
c6g.metal,73.0,116.1,194.0,259.6
c6gd.medium,1.1,1.8,3.0,4.1
c6gd.large,2.3,3.6,6.1,8.1
c6gd.xlarge,4.6,7.3,12.1,16.2
c6gd.2xlarge,9.1,14.5,24.3,32.4
c6gd.4xlarge,18.3,29.0,48.5,64.9
c6gd.8xlarge,36.5,58.1,97.0,129.8
c6gd.12xlarge,54.8,87.1,145.5,194.7
c6gd.16xlarge,73.0,116.1,194.0,259.6
c6gd.metal,73.0,116.1,194.0,259.6
c6gn.medium,1.1,1.8,3.0,4.1
c6gn.large,2.3,3.6,6.1,8.1
c6gn.xlarge,4.6,7.3,12.1,16.2
c6gn.2xlarge,9.1,14.5,24.3,32.4
c6gn.4xlarge,18.3,29.0,48.5,64.9
c6gn.8xlarge,36.5,58.1,97.0,129.8
c6gn.12xlarge,54.8,87.1,145.5,194.7
c6gn.16xlarge,73.0,116.1,194.0,259.6
d2.xlarge,12.5,20.0,30.4,41.7
d2.2xlarge,25.0,40.1,60.7,83.4
d2.4xlarge,50.0,80.1,121.5,166.8
d2.8xlarge,106.5,171.2,261.1,356.9
d3.xlarge,10.8,17.5,31.0,43.3
d3.2xlarge,21.5,35.0,62.1,86.6
d3.4xlarge,43.0,69.9,124.1,173.2
d3.8xlarge,86.0,139.9,248.2,346.4
d3en.xlarge,8.3,13.4,23.7,32.7
d3en.2xlarge,16.5,26.7,47.3,65.4
d3en.4xlarge,33.1,53.5,94.6,130.7
d3en.6xlarge,49.6,80.2,142.0,196.1
d3en.8xlarge,66.1,106.9,189.3,261.4
d3en.12xlarge,99.2,160.4,283.9,392.2
dc2.large,6.7,10.8,16.4,22.4
dc2.8xlarge,107.8,173.4,264.7,361.6
ds2.xlarge,12.6,20.2,30.6,42.0
ds2.8xlarge,106.5,171.2,261.1,356.9
f1.2xlarge,34.7,54.1,78.1,110.9
f1.4xlarge,69.5,108.3,156.1,221.8
f1.16xlarge,277.8,433.1,624.5,887.1
g2.2xlarge,47.6,107.4,227.5,305.4
g2.8xlarge,190.3,429.6,909.9,1221.7
g3s.xlarge,46.1,113.4,252.5,342.7
g3.4xlarge,79.9,167.2,333.0,454.1
g3.8xlarge,159.8,334.3,666.0,908.3
g3.16xlarge,319.6,668.6,1332.0,1816.5
g4dn.xlarge,16.4,35.6,76.3,104.0
g4dn.2xlarge,24.7,49.0,100.0,136.7
g4dn.4xlarge,41.2,75.7,147.3,202.0
g4dn.8xlarge,74.3,129.2,241.9,332.7
g4dn.16xlarge,140.4,236.1,431.2,594.2
g4dn.12xlarge,131.7,249.5,494.5,677.4
g4dn.metal,263.5,499.0,989.1,1354.7
g4ad.4xlarge,53.7,115.0,239.3,324.4
g4ad.8xlarge,107.4,230.0,478.6,648.9
g4ad.16xlarge,214.7,460.0,957.2,1297.8
h1.2xlarge,16.7,27.1,42.1,56.9
h1.4xlarge,33.5,54.3,84.1,113.8
h1.8xlarge,66.9,108.6,168.3,227.5
h1.16xlarge,133.8,217.1,336.5,455.1
hs1.8xlarge,60.3,97.7,151.2,204.7
i2.xlarge,13.5,21.7,33.1,45.2
i2.2xlarge,26.9,43.3,66.2,90.4
i2.4xlarge,53.9,86.7,132.4,180.8
i2.8xlarge,107.8,173.4,264.7,361.6
i3.large,5.6,9.0,13.4,18.6
i3.xlarge,11.3,17.9,26.8,37.1
i3.2xlarge,22.5,35.8,53.7,74.3
i3.4xlarge,45.1,71.7,107.3,148.6
i3.8xlarge,90.1,143.4,214.7,297.1
i3.16xlarge,180.2,286.7,429.3,594.3
i3.metal,195.4,311.5,468.2,646.3
i3en.large,5.6,8.9,19.1,27.9
i3en.xlarge,11.2,17.8,38.2,55.9
i3en.2xlarge,22.5,35.6,76.3,111.8
i3en.3xlarge,33.7,53.4,114.5,167.7
i3en.6xlarge,67.4,106.9,229.0,335.4
i3en.12xlarge,134.8,213.7,458.0,670.8
i3en.24xlarge,269.5,427.4,915.9,1341.6
i3en.metal,269.5,427.4,915.9,1341.6
inf1.xlarge,7.9,14.1,28.4,38.9
inf1.2xlarge,15.9,28.1,56.9,77.8
inf1.6xlarge,47.6,84.4,170.7,233.3
inf1.24xlarge,190.5,337.8,682.7,933.2
m1.small,2.2,3.7,6.1,8.0
m1.medium,2.7,4.4,6.9,9.2
m1.large,5.3,8.7,13.8,18.4
m1.xlarge,10.6,17.4,27.6,36.8
m2.xlarge,8.0,13.0,19.9,27.1
m2.2xlarge,16.1,25.9,39.8,54.1
m2.4xlarge,32.1,51.8,79.6,108.3
m3.medium,3.1,5.0,8.0,10.7
m3.large,6.1,10.1,16.1,21.3
m3.xlarge,12.2,20.1,32.1,42.6
m3.2xlarge,24.4,40.3,64.2,85.2
m4.large,4.2,6.8,10.5,14.2
m4.xlarge,8.4,13.6,21.0,28.4
m4.2xlarge,16.7,27.1,42.1,56.9
m4.4xlarge,33.5,54.3,84.1,113.8
m4.10xlarge,96.1,156.9,245.6,329.9
m4.16xlarge,133.8,217.1,336.5,455.1
m5.large,4.4,7.0,14.1,20.0
m5.xlarge,8.8,14.0,28.2,39.9
m5.2xlarge,17.6,27.9,56.5,79.8
m5.4xlarge,35.3,55.8,113.0,159.6
m5.8xlarge,70.6,111.7,225.9,319.3
m5.12xlarge,105.8,167.5,338.9,478.9
m5.16xlarge,141.1,223.3,451.9,638.5
m5.24xlarge,211.7,335.0,677.8,957.8
m5.metal,211.7,335.0,677.8,957.8
m5a.large,4.2,6.7,11.1,15.0
m5a.xlarge,8.5,13.4,22.3,29.9
m5a.2xlarge,16.9,26.9,44.5,59.8
m5a.4xlarge,33.9,53.8,89.1,119.6
m5a.8xlarge,67.8,107.5,178.2,239.3
m5a.12xlarge,101.6,161.3,267.3,358.9
m5a.16xlarge,135.5,215.0,356.3,478.5
m5a.24xlarge,203.3,322.5,534.5,717.8
m5ad.large,4.2,6.7,11.1,15.0
m5ad.xlarge,8.5,13.4,22.3,29.9
m5ad.2xlarge,16.9,26.9,44.5,59.8
m5ad.4xlarge,33.9,53.8,89.1,119.6
m5ad.8xlarge,67.8,107.5,178.2,239.3
m5ad.12xlarge,101.6,161.3,267.3,358.9
m5ad.16xlarge,135.5,215.0,356.3,478.5
m5ad.24xlarge,203.3,322.5,534.5,717.8
m5d.large,4.4,7.0,14.1,20.0
m5d.xlarge,8.8,14.0,28.2,39.9
m5d.2xlarge,17.6,27.9,56.5,79.8
m5d.4xlarge,35.3,55.8,113.0,159.6
m5d.8xlarge,70.6,111.7,225.9,319.3
m5d.12xlarge,105.8,167.5,338.9,478.9
m5d.16xlarge,141.1,223.3,451.9,638.5
m5d.24xlarge,211.7,335.0,677.8,957.8
m5d.metal,211.7,335.0,677.8,957.8
m5dn.large,4.1,6.7,11.8,16.3
m5dn.xlarge,8.3,13.4,23.7,32.7
m5dn.2xlarge,16.5,26.7,47.3,65.4
m5dn.4xlarge,33.1,53.5,94.6,130.7
m5dn.8xlarge,66.1,106.9,189.3,261.4
m5dn.12xlarge,99.2,160.4,283.9,392.2
m5dn.16xlarge,132.3,213.8,378.5,522.9
m5dn.24xlarge,198.4,320.8,567.8,784.3
m5dn.metal,198.4,320.8,567.8,784.3
m5n.large,4.1,6.7,11.8,16.3
