true,predicted,name,avgcpu,node_count,instance_type,job_input,engine_type,data_size
362.1993805560001,29.33412906237797,10_m4.2xlarge_naive-bayes_spark1.5_huge_1,87.169875,10,m4.2xlarge,naive-bayes,spark1.5,huge
873.651,848.4132385777906,10_m4.2xlarge_pagerank_hadoop_bigdata_1,65.0843117415206,10,m4.2xlarge,pagerank,hadoop,bigdata
667.444,378.6309261029779,10_m4.2xlarge_pagerank_hadoop_huge_1,61.10000746268658,10,m4.2xlarge,pagerank,hadoop,huge
332.134,357.10140406552046,10_m4.2xlarge_pagerank_spark_bigdata_1,53.54565765765766,10,m4.2xlarge,pagerank,spark,bigdata
209.852,-53.31858616394083,10_m4.2xlarge_pagerank_spark_huge_1,44.14944186046512,10,m4.2xlarge,pagerank,spark,huge
3587.340274387,3917.8045896084714,10_m4.2xlarge_regression_spark1.5_bigdata_1,78.59675592747558,10,m4.2xlarge,regression,spark1.5,bigdata
180.94021814300012,139.22214669610827,10_m4.2xlarge_regression_spark1.5_huge_1,64.0046111111111,10,m4.2xlarge,regression,spark1.5,huge
601.952,595.6767710094024,10_m4.2xlarge_terasort_hadoop_bigdata_1,33.08030602799185,10,m4.2xlarge,terasort,hadoop,bigdata
447.409,229.764993316128,10_m4.2xlarge_terasort_hadoop_huge_1,27.70621001221001,10,m4.2xlarge,terasort,hadoop,huge
542.387,571.774404174027,10_m4.2xlarge_wordcount_hadoop_bigdata_1,54.5674988034473,10,m4.2xlarge,wordcount,hadoop,bigdata
360.58,134.24723621308036,10_m4.2xlarge_wordcount_hadoop_huge_1,49.16872298758745,10,m4.2xlarge,wordcount,hadoop,huge
838.798,1298.9416818751627,10_m4.large_join_spark_bigdata_1,69.35194411168119,10,m4.large,join,spark,bigdata
601.23,813.0573536054691,10_m4.large_join_spark_huge_1,57.66612940771351,10,m4.large,join,spark,huge
7040.141403144997,5357.5695496668895,10_m4.large_kmeans_spark1.5_bigdata_1,89.07642116477273,10,m4.large,kmeans,spark1.5,bigdata
2197.3765887209997,2762.6151116608917,10_m4.large_kmeans_spark1.5_huge_1,87.6579430523918,10,m4.large,kmeans,spark1.5,huge
3802.788,3650.095010066644,10_m4.large_lr_spark_bigdata_1,20.03379809523809,10,m4.large,lr,spark,bigdata
1427.642,1591.3601170134264,10_m4.large_lr_spark_huge_1,20.508522648083623,10,m4.large,lr,spark,huge
2576.563292679999,3383.804153838823,10_m4.large_naive-bayes_spark1.5_bigdata_1,88.94070485436893,10,m4.large,naive-bayes,spark1.5,bigdata
1307.1991916760007,1268.8096534882056,10_m4.large_naive-bayes_spark1.5_huge_1,88.40862068965517,10,m4.large,naive-bayes,spark1.5,huge
2600.612,2447.8852794541285,10_m4.large_pagerank_hadoop_bigdata_1,69.03432124999999,10,m4.large,pagerank,hadoop,bigdata
1382.405,1464.2628613422203,10_m4.large_pagerank_hadoop_huge_1,71.24821582733813,10,m4.large,pagerank,hadoop,huge
1154.027,1384.429799751124,10_m4.large_pagerank_spark_bigdata_1,75.88933231707317,10,m4.large,pagerank,spark,bigdata
468.369,808.3451198764014,10_m4.large_pagerank_spark_huge_1,71.96232631578947,10,m4.large,pagerank,spark,huge
7200.505428504999,6917.568052065001,10_m4.large_regression_spark1.5_bigdata_1,86.68713055555554,10,m4.large,regression,spark1.5,bigdata
2640.28677193,2483.7751551505994,10_m4.large_regression_spark1.5_huge_1,83.36733333333333,10,m4.large,regression,spark1.5,huge
1749.412,1986.9551143641331,10_m4.large_terasort_hadoop_bigdata_1,43.98337305650238,10,m4.large,terasort,hadoop,bigdata
1210.706,1249.3408585164264,10_m4.large_terasort_hadoop_huge_1,34.711406551423664,10,m4.large,terasort,hadoop,huge
2142.75,2076.784247931948,10_m4.large_wordcount_hadoop_bigdata_1,56.47839897302648,10,m4.large,wordcount,hadoop,bigdata
1037.715,1248.6556221694673,10_m4.large_wordcount_hadoop_huge_1,58.142820298916185,10,m4.large,wordcount,hadoop,huge
472.899,449.36622487253084,10_m4.xlarge_join_spark_bigdata_1,65.12440119760478,10,m4.xlarge,join,spark,bigdata
352.511,248.85701231189591,10_m4.xlarge_join_spark_huge_1,54.77291549295775,10,m4.xlarge,join,spark,huge
1854.9587836550015,2877.096658058292,10_m4.xlarge_kmeans_spark1.5_bigdata_1,91.17003773584906,10,m4.xlarge,kmeans,spark1.5,bigdata
967.8267146859998,1375.0907830263066,10_m4.xlarge_kmeans_spark1.5_huge_1,90.2526476683938,10,m4.xlarge,kmeans,spark1.5,huge
2437.692,2565.283575102677,10_m4.xlarge_lr_spark_bigdata_1,10.207182684002502,10,m4.xlarge,lr,spark,bigdata
1594.825,1551.5060695782556,10_m4.xlarge_lr_spark_huge_1,8.319315625,10,m4.xlarge,lr,spark,huge
1306.409577336999,1460.9537052569567,10_m4.xlarge_naive-bayes_spark1.5_bigdata_1,89.02158620689656,10,m4.xlarge,naive-bayes,spark1.5,bigdata
675.4569616829995,412.9028061022112,10_m4.xlarge_naive-bayes_spark1.5_huge_1,87.75594074074074,10,m4.xlarge,naive-bayes,spark1.5,huge
1356.371,1339.9731992768027,10_m4.xlarge_pagerank_hadoop_bigdata_1,70.13840133037694,10,m4.xlarge,pagerank,hadoop,bigdata
887.284,777.2853090294418,10_m4.xlarge_pagerank_hadoop_huge_1,65.70232584269664,10,m4.xlarge,pagerank,hadoop,huge
513.868,631.8363208636491,10_m4.xlarge_pagerank_spark_bigdata_1,72.61575471698113,10,m4.xlarge,pagerank,spark,bigdata
264.483,213.45625147847957,10_m4.xlarge_pagerank_spark_huge_1,65.39651851851852,10,m4.xlarge,pagerank,spark,huge
4938.429091761,5435.258824167409,10_m4.xlarge_regression_spark1.5_bigdata_1,88.20493007990517,10,m4.xlarge,regression,spark1.5,bigdata
1341.2454640860003,1651.588156396175,10_m4.xlarge_regression_spark1.5_huge_1,85.92231716417909,10,m4.xlarge,regression,spark1.5,huge
955.222,1040.7526407320277,10_m4.xlarge_terasort_hadoop_bigdata_1,42.55442105263158,10,m4.xlarge,terasort,hadoop,bigdata
548.317,466.3219167009648,10_m4.xlarge_terasort_hadoop_huge_1,38.685873873873874,10,m4.xlarge,terasort,hadoop,huge
1002.592,1106.446823630495,10_m4.xlarge_wordcount_hadoop_bigdata_1,58.44005244093528,10,m4.xlarge,wordcount,hadoop,bigdata
550.583,544.3571041833769,10_m4.xlarge_wordcount_hadoop_huge_1,55.95958341377092,10,m4.xlarge,wordcount,hadoop,huge
339.233,247.48741349932044,10_r4.2xlarge_join_spark_bigdata_1,49.00866666666667,10,r4.2xlarge,join,spark,bigdata
292.408,249.05013557839354,10_r4.2xlarge_join_spark_huge_1,37.07235000000001,10,r4.2xlarge,join,spark,huge
290.40999033400294,1003.1536890896821,10_r4.2xlarge_kmeans_spark1.5_bigdata_1,75.72572413793104,10,r4.2xlarge,kmeans,spark1.5,bigdata
169.7627199210001,46.235068212886326,10_r4.2xlarge_kmeans_spark1.5_huge_1,64.63238235294118,10,r4.2xlarge,kmeans,spark1.5,huge
2830.579,2642.7741138420565,10_r4.2xlarge_lr_spark_bigdata_1,4.0612124248497,10,r4.2xlarge,lr,spark,bigdata
2144.617,2091.741409874728,10_r4.2xlarge_lr_spark_huge_1,3.0962767441860466,10,r4.2xlarge,lr,spark,huge
687.3644642660001,937.5287187675589,10_r4.2xlarge_naive-bayes_spark1.5_bigdata_1,89.39051824817518,10,r4.2xlarge,naive-bayes,spark1.5,bigdata
191.852316902,228.8507461469815,10_r4.2xlarge_naive-bayes_spark1.5_huge_1,82.3447105263158,10,r4.2xlarge,naive-bayes,spark1.5,huge
855.242,966.7200156761769,10_r4.2xlarge_pagerank_hadoop_bigdata_1,66.14643234323432,10,r4.2xlarge,pagerank,hadoop,bigdata
647.263,561.057125102396,10_r4.2xlarge_pagerank_hadoop_huge_1,62.29085384615384,10,r4.2xlarge,pagerank,hadoop,huge
270.936,431.13441004396515,10_r4.2xlarge_pagerank_spark_bigdata_1,55.1567741935484,10,r4.2xlarge,pagerank,spark,bigdata
181.227,79.32075093941403,10_r4.2xlarge_pagerank_spark_huge_1,47.58910810810811,10,r4.2xlarge,pagerank,spark,huge
3373.9430048900003,3069.0789099015647,10_r4.2xlarge_regression_spark1.5_bigdata_1,74.73236549291131,10,r4.2xlarge,regression,spark1.5,bigdata
154.49937886400005,77.34005074086268,10_r4.2xlarge_regression_spark1.5_huge_1,57.91403225806452,10,r4.2xlarge,regression,spark1.5,huge
858.669,780.1505306456862,10_r4.2xlarge_terasort_hadoop_bigdata_1,31.560651982378857,10,r4.2xlarge,terasort,hadoop,bigdata
260.222,217.14873725338128,10_r4.2xlarge_terasort_hadoop_huge_1,51.034471698113215,10,r4.2xlarge,terasort,hadoop,huge
526.086,729.1276821755789,10_r4.2xlarge_wordcount_hadoop_bigdata_1,60.95561820052846,10,r4.2xlarge,wordcount,hadoop,bigdata
276.373,241.09864366161455,10_r4.2xlarge_wordcount_hadoop_huge_1,62.88419429824561,10,r4.2xlarge,wordcount,hadoop,huge
883.491,1100.8894981549204,10_r4.large_join_spark_bigdata_1,68.73824131646572,10,r4.large,join,spark,bigdata
533.062,463.8156939683964,10_r4.large_join_spark_huge_1,66.62130841121495,10,r4.large,join,spark,huge
6979.046487945001,5724.169050631279,10_r4.large_kmeans_spark1.5_bigdata_1,88.46507212825173,10,r4.large,kmeans,spark1.5,bigdata
2107.399882851,2406.894435980967,10_r4.large_kmeans_spark1.5_huge_1,88.31802375296911,10,r4.large,kmeans,spark1.5,huge
2222.539,2123.9593647341976,10_r4.large_lr_spark_bigdata_1,25.003750737463125,10,r4.large,lr,spark,bigdata
1150.899,1678.584865568778,10_r4.large_lr_spark_huge_1,22.97351082251082,10,r4.large,lr,spark,huge
2624.306614522,2614.0610839183005,10_r4.large_naive-bayes_spark1.5_bigdata_1,89.61550857142858,10,r4.large,naive-bayes,spark1.5,bigdata
1362.8870491590003,1392.6779608100546,10_r4.large_naive-bayes_spark1.5_huge_1,87.88710661764705,10,r4.large,naive-bayes,spark1.5,huge
2537.644,2515.5708139353424,10_r4.large_pagerank_hadoop_bigdata_1,69.53743450881612,10,r4.large,pagerank,hadoop,bigdata
1415.209,1293.25239648584,10_r4.large_pagerank_hadoop_huge_1,69.89380985915493,10,r4.large,pagerank,hadoop,huge
884.527,1234.900838998151,10_r4.large_pagerank_spark_bigdata_1,71.32278279349461,10,r4.large,pagerank,spark,bigdata
447.776,641.3363497742491,10_r4.large_pagerank_spark_huge_1,68.80041806020067,10,r4.large,pagerank,spark,huge
