instance_type,scope3_hourly,slope,intercept,error,r_value,p_value,max_power
db.x1e.4xlarge,24.2,2.4166129032258064,141.48548387096773,0.2645353307350011,0.9882285045214987,0.011771495478501313,380.5
db.x1e.8xlarge,48.4,4.832096774193548,283.0661290322581,0.5291215134187401,0.9882208756494958,0.01177912435050421,761.0
db.x1e.16xlarge,96.8,9.664838709677419,566.1064516129034,1.0576158076873357,0.9882361321757485,0.01176386782425154,1522.0
db.x1e.32xlarge,193.6,19.330483870967743,1132.1806451612904,2.1151210319290663,0.9882383047362152,0.011761695263784788,3044.1
db.x1.32xlarge,115.3,12.089193548387097,689.8322580645162,1.373951681539427,0.9873283880087593,0.012671611991240672,1872.9
db.x1.16xlarge,57.7,6.0441935483870965,344.9322580645162,0.6871440995363143,0.9873206380176582,0.012679361982341762,936.4
db.r6g.large,1.5,0.10048387096774193,5.505645161290323,0.010341150132175377,0.9895741488223174,0.010425851177682579,15.3
db.r6g.xlarge,3.1,0.20032258064516129,11.037096774193547,0.02096339905396882,0.9892254255833758,0.010774574416624218,30.6
db.r6g.2xlarge,6.1,0.4019354838709677,21.997580645161293,0.04225906487365588,0.9891257862799054,0.01087421372009456,61.2
db.r6g.4xlarge,12.2,0.8040322580645162,44.01370967741935,0.08343758220891731,0.9894018661397549,0.010598133860245103,122.5
db.r6g.12xlarge,36.6,2.412258064516129,132.0346774193548,0.2514980739836411,0.989304272185592,0.010695727814407972,367.5
db.r6g.16xlarge,48.8,3.2169354838709676,175.9975806451613,0.33556515570792755,0.9892934287665194,0.010706571233480624,490.0
db.r5.large,1.3,0.22161290322580646,6.510483870967741,0.017346959777654793,0.9939286196970183,0.00607138030298171,27.9
db.r5.xlarge,2.6,0.4441935483870968,13.007258064516126,0.03433523975255964,0.9940780533670667,0.005921946632933327,55.9
db.r5.2xlarge,5.2,0.8875806451612903,26.046774193548387,0.06754551015224751,0.9942585114638134,0.005741488536186611,111.8
db.r5.4xlarge,10.3,1.7759677419354838,52.061290322580646,0.13621590829729432,0.9941685881682739,0.005831411831726084,223.6
db.r5.8xlarge,20.7,3.551290322580645,104.14838709677417,0.2718143456507776,0.9941926715850496,0.005807328414950352,447.2
