avgcpu,job_input,engine_type,data_size,node_count,instance_type,elapsed_time,name
49.16872298758745,wordcount,hadoop,huge,10,m4.2xlarge,360.580,10_m4.2xlarge_wordcount_hadoop_huge_1
69.35194411168119,join,spark,bigdata,10,m4.large,838.798,10_m4.large_join_spark_bigdata_1
57.666129407713505,join,spark,huge,10,m4.large,601.230,10_m4.large_join_spark_huge_1
89.07642116477273,kmeans,spark1.5,bigdata,10,m4.large,7040.141403144997,10_m4.large_kmeans_spark1.5_bigdata_1
87.6579430523918,kmeans,spark1.5,huge,10,m4.large,2197.3765887209993,10_m4.large_kmeans_spark1.5_huge_1
20.033798095238094,lr,spark,bigdata,10,m4.large,3802.788,10_m4.large_lr_spark_bigdata_1
20.508522648083623,lr,spark,huge,10,m4.large,1427.642,10_m4.large_lr_spark_huge_1
88.94070485436893,naive-bayes,spark1.5,bigdata,10,m4.large,2576.563292679999,10_m4.large_naive-bayes_spark1.5_bigdata_1
88.40862068965517,naive-bayes,spark1.5,huge,10,m4.large,1307.1991916760007,10_m4.large_naive-bayes_spark1.5_huge_1
69.03432124999999,pagerank,hadoop,bigdata,10,m4.large,2600.612,10_m4.large_pagerank_hadoop_bigdata_1
71.24821582733813,pagerank,hadoop,huge,10,m4.large,1382.405,10_m4.large_pagerank_hadoop_huge_1
75.88933231707317,pagerank,spark,bigdata,10,m4.large,1154.027,10_m4.large_pagerank_spark_bigdata_1
71.96232631578947,pagerank,spark,huge,10,m4.large,468.369,10_m4.large_pagerank_spark_huge_1
86.68713055555554,regression,spark1.5,bigdata,10,m4.large,7200.505428504999,10_m4.large_regression_spark1.5_bigdata_1
83.36733333333333,regression,spark1.5,huge,10,m4.large,2640.28677193,10_m4.large_regression_spark1.5_huge_1
43.98337305650238,terasort,hadoop,bigdata,10,m4.large,1749.412,10_m4.large_terasort_hadoop_bigdata_1
34.711406551423664,terasort,hadoop,huge,10,m4.large,1210.706,10_m4.large_terasort_hadoop_huge_1
56.47839897302648,wordcount,hadoop,bigdata,10,m4.large,2142.750,10_m4.large_wordcount_hadoop_bigdata_1
58.142820298916185,wordcount,hadoop,huge,10,m4.large,1037.715,10_m4.large_wordcount_hadoop_huge_1
65.12440119760478,join,spark,bigdata,10,m4.xlarge,472.899,10_m4.xlarge_join_spark_bigdata_1
54.77291549295775,join,spark,huge,10,m4.xlarge,352.511,10_m4.xlarge_join_spark_huge_1
91.17003773584906,kmeans,spark1.5,bigdata,10,m4.xlarge,1854.9587836550018,10_m4.xlarge_kmeans_spark1.5_bigdata_1
90.25264766839379,kmeans,spark1.5,huge,10,m4.xlarge,967.8267146859998,10_m4.xlarge_kmeans_spark1.5_huge_1
10.207182684002502,lr,spark,bigdata,10,m4.xlarge,2437.692,10_m4.xlarge_lr_spark_bigdata_1
8.319315625,lr,spark,huge,10,m4.xlarge,1594.825,10_m4.xlarge_lr_spark_huge_1
89.02158620689656,naive-bayes,spark1.5,bigdata,10,m4.xlarge,1306.409577336999,10_m4.xlarge_naive-bayes_spark1.5_bigdata_1
87.75594074074074,naive-bayes,spark1.5,huge,10,m4.xlarge,675.4569616829995,10_m4.xlarge_naive-bayes_spark1.5_huge_1
70.13840133037694,pagerank,hadoop,bigdata,10,m4.xlarge,1356.371,10_m4.xlarge_pagerank_hadoop_bigdata_1
65.70232584269664,pagerank,hadoop,huge,10,m4.xlarge,887.284,10_m4.xlarge_pagerank_hadoop_huge_1
72.61575471698113,pagerank,spark,bigdata,10,m4.xlarge,513.868,10_m4.xlarge_pagerank_spark_bigdata_1
65.39651851851852,pagerank,spark,huge,10,m4.xlarge,264.483,10_m4.xlarge_pagerank_spark_huge_1
88.20493007990517,regression,spark1.5,bigdata,10,m4.xlarge,4938.429091761,10_m4.xlarge_regression_spark1.5_bigdata_1
85.92231716417909,regression,spark1.5,huge,10,m4.xlarge,1341.2454640860003,10_m4.xlarge_regression_spark1.5_huge_1
42.55442105263158,terasort,hadoop,bigdata,10,m4.xlarge,955.222,10_m4.xlarge_terasort_hadoop_bigdata_1
38.685873873873874,terasort,hadoop,huge,10,m4.xlarge,548.317,10_m4.xlarge_terasort_hadoop_huge_1
58.440052440935276,wordcount,hadoop,bigdata,10,m4.xlarge,1002.592,10_m4.xlarge_wordcount_hadoop_bigdata_1
55.959583413770915,wordcount,hadoop,huge,10,m4.xlarge,550.583,10_m4.xlarge_wordcount_hadoop_huge_1
49.00866666666667,join,spark,bigdata,10,r4.2xlarge,339.233,10_r4.2xlarge_join_spark_bigdata_1
37.07235000000001,join,spark,huge,10,r4.2xlarge,292.408,10_r4.2xlarge_join_spark_huge_1
75.72572413793104,kmeans,spark1.5,bigdata,10,r4.2xlarge,290.40999033400294,10_r4.2xlarge_kmeans_spark1.5_bigdata_1
64.63238235294118,kmeans,spark1.5,huge,10,r4.2xlarge,169.7627199210001,10_r4.2xlarge_kmeans_spark1.5_huge_1
4.0612124248497,lr,spark,bigdata,10,r4.2xlarge,2830.579,10_r4.2xlarge_lr_spark_bigdata_1
3.0962767441860466,lr,spark,huge,10,r4.2xlarge,2144.617,10_r4.2xlarge_lr_spark_huge_1
